unique_sale_id,date_id,item_code,quantity_sold,sale_unit_price,sale_unit_cost,total_line_amount,total_line_benefit,line_profit_margin
2025-02-13-400004,2025-02-13,400004,1,52,49.75,52,2.25,0.043269230769
2025-03-10-400004,2025-03-10,400004,1,52,49.75,52,2.25,0.043269230769
2024-10-10-400004,2024-10-10,400004,1,52,49.75,52,2.25,0.043269230769
2024-10-17-400004,2024-10-17,400004,1,52,49.75,52,2.25,0.043269230769
2025-03-08-400004,2025-03-08,400004,1,52,49.75,52,2.25,0.043269230769
2024-12-28-400004,2024-12-28,400004,1,52,49.75,52,2.25,0.043269230769
2025-03-02-400004,2025-03-02,400004,1,52,49.75,52,2.25,0.043269230769
2024-12-19-400004,2024-12-19,400004,1,52,49.75,52,2.25,0.043269230769
2024-12-20-400004,2024-12-20,400004,1,52,49.75,52,2.25,0.043269230769
2025-01-31-400004,2025-01-31,400004,1,52,49.75,52,2.25,0.043269230769
2025-01-23-400004,2025-01-23,400004,1,52,49.75,52,2.25,0.043269230769
2024-12-27-400004,2024-12-27,400004,1,52,49.75,52,2.25,0.043269230769
2024-10-07-400004,2024-10-07,400004,1,52,49.75,52,2.25,0.043269230769
2024-09-23-400004,2024-09-23,400004,1,52,49.75,52,2.25,0.043269230769
2025-02-03-400004,2025-02-03,400004,1,52,49.75,52,2.25,0.043269230769
2025-01-29-400004,2025-01-29,400004,1,52,49.75,52,2.25,0.043269230769
2024-10-14-400004,2024-10-14,400004,1,52,49.75,52,2.25,0.043269230769
2024-08-23-400004,2024-08-23,400004,1,52,49.75,52,2.25,0.043269230769
2024-09-07-400004,2024-09-07,400004,1,52,49.75,52,2.25,0.043269230769
2025-01-22-400004,2025-01-22,400004,2,52,49.75,104,4.5,0.043269230769
2025-02-01-400004,2025-02-01,400004,2,52,49.75,104,4.5,0.043269230769
2024-10-03-200017,2024-10-03,200017,1,24,22.96,24,1.04,0.043333333333
2024-10-24-200017,2024-10-24,200017,1,24,22.96,24,1.04,0.043333333333
2024-08-22-200017,2024-08-22,200017,1,24,22.96,24,1.04,0.043333333333
2024-12-23-200017,2024-12-23,200017,1,24,22.96,24,1.04,0.043333333333
2024-09-02-200017,2024-09-02,200017,2,24,22.96,48,2.08,0.043333333333
2024-10-14-200017,2024-10-14,200017,2,24,22.96,48,2.08,0.043333333333
2024-08-16-200421,2024-08-16,200421,10,54.6,52.02,546,25.8,0.047252747253
2025-04-06-400019,2025-04-06,400019,1,80,75.99,80,4.01,0.050125
2025-03-03-400019,2025-03-03,400019,1,80,75.99,80,4.01,0.050125
2024-12-26-7503001412153,2024-12-26,7503001412153,1,138.75,131.24,138.75,7.51,0.054126126126
2024-09-05-7503001412153,2024-09-05,7503001412153,1,138.75,131.24,138.75,7.51,0.054126126126
2024-12-27-200200,2024-12-27,200200,1,55,52.01,55,2.99,0.054363636364
2024-09-30-200200,2024-09-30,200200,1,55,52.01,55,2.99,0.054363636364
2024-09-23-200200,2024-09-23,200200,1,55,52.01,55,2.99,0.054363636364
2025-02-10-200200,2025-02-10,200200,1,55,52.01,55,2.99,0.054363636364
2025-01-17-200200,2025-01-17,200200,1,55,52.01,55,2.99,0.054363636364
2025-02-12-200200,2025-02-12,200200,1,55,52.01,55,2.99,0.054363636364
2024-08-26-200200,2024-08-26,200200,1,55,52.01,55,2.99,0.054363636364
2024-10-21-200200,2024-10-21,200200,1,55,52.01,55,2.99,0.054363636364
2025-03-10-200200,2025-03-10,200200,2,55,52.01,110,5.98,0.054363636364
2024-11-11-200200,2024-11-11,200200,2,55,52.01,110,5.98,0.054363636364
2024-10-31-200200,2024-10-31,200200,2,55,52.01,110,5.98,0.054363636364
2024-11-08-200200,2024-11-08,200200,2,55,52.01,110,5.98,0.054363636364
2024-12-23-200200,2024-12-23,200200,2,55,52.01,110,5.98,0.054363636364
2024-08-29-200200,2024-08-29,200200,2,55,52.01,110,5.98,0.054363636364
2024-11-04-200200,2024-11-04,200200,2,55,52.01,110,5.98,0.054363636364
2024-10-26-200200,2024-10-26,200200,2,55,52.01,110,5.98,0.054363636364
2024-12-04-200200,2024-12-04,200200,2,55,52.01,110,5.98,0.054363636364
2024-09-10-200200,2024-09-10,200200,2,55,52.01,110,5.98,0.054363636364
2024-10-08-200200,2024-10-08,200200,2,55,52.01,110,5.98,0.054363636364
2024-10-18-200200,2024-10-18,200200,2,55,52.01,110,5.98,0.054363636364
